"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"08/05/2023","78,500.0","78,500.0","78,900.0","78,400.0","362.90K","0.13%"
"05/05/2023","78,400.0","78,600.0","78,600.0","78,200.0","319.20K","-0.13%"
"04/05/2023","78,500.0","77,800.0","78,700.0","77,600.0","497.20K","1.29%"
"28/04/2023","77,500.0","78,800.0","78,800.0","77,500.0","945.60K","-1.02%"
"27/04/2023","78,300.0","78,100.0","78,800.0","78,100.0","221.00K","0.00%"
"26/04/2023","78,300.0","78,100.0","78,400.0","77,600.0","772.00K","-0.13%"
"25/04/2023","78,400.0","79,100.0","79,300.0","78,300.0","540.00K","-0.88%"
"24/04/2023","79,100.0","79,500.0","80,600.0","79,000.0","794.50K","-0.25%"
"21/04/2023","79,300.0","80,000.0","80,000.0","79,300.0","324.00K","-0.13%"
"20/04/2023","79,400.0","79,800.0","79,800.0","79,200.0","364.40K","0.13%"
"19/04/2023","79,300.0","79,800.0","79,800.0","79,300.0","419.80K","-0.13%"
"18/04/2023","79,400.0","79,600.0","80,000.0","79,200.0","301.60K","-0.25%"
"17/04/2023","79,600.0","79,600.0","79,700.0","79,000.0","449.90K","0.00%"
"14/04/2023","79,600.0","79,900.0","80,100.0","79,300.0","398.80K","0.00%"
"13/04/2023","79,600.0","80,300.0","80,400.0","79,300.0","540.50K","-0.87%"
"12/04/2023","80,300.0","80,300.0","80,500.0","79,900.0","574.70K","0.00%"
"11/04/2023","80,300.0","80,200.0","80,500.0","80,100.0","534.00K","0.00%"
"10/04/2023","80,300.0","81,000.0","81,000.0","80,100.0","769.80K","-0.25%"
"07/04/2023","80,500.0","80,200.0","80,700.0","80,000.0","359.80K","0.25%"
"06/04/2023","80,300.0","80,700.0","81,500.0","80,300.0","612.90K","-0.37%"
"05/04/2023","80,600.0","80,500.0","80,600.0","79,700.0","422.00K","0.12%"
"04/04/2023","80,500.0","80,900.0","81,000.0","80,000.0","584.60K","-0.49%"
"03/04/2023","80,900.0","79,400.0","80,900.0","79,100.0","1.17M","2.28%"
"31/03/2023","79,100.0","79,100.0","79,500.0","79,000.0","671.60K","0.00%"
"30/03/2023","79,100.0","79,000.0","79,300.0","78,800.0","408.40K","0.13%"
"29/03/2023","79,000.0","79,200.0","79,300.0","78,600.0","404.50K","-0.25%"
"28/03/2023","79,200.0","79,200.0","79,200.0","77,500.0","1.00M","0.13%"
"27/03/2023","79,100.0","78,900.0","79,200.0","78,500.0","767.20K","0.64%"
"24/03/2023","78,600.0","78,300.0","78,800.0","78,000.0","366.70K","0.77%"
"23/03/2023","78,000.0","78,400.0","78,500.0","77,600.0","356.60K","-0.64%"
"22/03/2023","78,500.0","78,200.0","78,600.0","77,600.0","610.40K","0.51%"
"21/03/2023","78,100.0","78,600.0","78,700.0","77,100.0","536.20K","0.64%"
"20/03/2023","77,600.0","79,100.0","79,300.0","77,600.0","769.80K","-1.77%"
"17/03/2023","79,000.0","79,600.0","80,000.0","78,600.0","429.40K","-0.25%"
"16/03/2023","79,200.0","80,000.0","80,000.0","78,400.0","850.00K","-1.61%"
"15/03/2023","80,500.0","79,100.0","80,500.0","79,100.0","691.80K","2.29%"
"14/03/2023","78,700.0","79,000.0","79,100.0","78,500.0","427.40K","-0.25%"
"13/03/2023","78,900.0","78,100.0","79,400.0","78,100.0","886.50K","-0.75%"
"10/03/2023","79,500.0","80,200.0","80,400.0","79,000.0","640.90K","-1.36%"
"09/03/2023","80,600.0","79,500.0","80,700.0","79,200.0","640.30K","1.38%"
"08/03/2023","79,500.0","78,500.0","79,500.0","78,500.0","510.60K","0.89%"
"07/03/2023","78,800.0","79,100.0","79,900.0","78,800.0","792.00K","0.77%"
"06/03/2023","78,200.0","78,100.0","79,800.0","78,100.0","817.20K","-0.38%"
